day	hour	temp2022-01-29 0	-1
2022-01-29 1	-1
2022-01-29 2	-1
2022-01-29 3	-2
2022-01-29 4	-3
2022-01-29 5	-4
2022-01-29 6	-4
2022-01-29 7	-5
2022-01-29 8	-5
2022-01-29 9	-5
2022-01-29 10	-4
2022-01-29 11	-4
2022-01-29 12	-3
2022-01-29 13	-3
2022-01-29 14	-3
2022-01-29 15	-3
2022-01-29 16	-3
2022-01-29 17	-4
2022-01-29 18	-4
2022-01-29 19	-5
2022-01-29 20	-4
2022-01-29 21	-4
2022-01-29 22	-5
2022-01-29 23	-5
2022-01-30 0	-6
2022-01-30 1	-6
2022-01-30 2	-7
2022-01-30 3	-7
2022-01-30 4	-8
2022-01-30 5	-8
2022-01-30 6	-9
2022-01-30 7	-8
2022-01-30 8	-7
2022-01-30 9	-5
2022-01-30 10	-3
2022-01-30 11	-3
2022-01-30 12	-2
2022-01-30 13	-2
2022-01-30 14	-1
2022-01-30 15	-2
2022-01-30 16	-2
2022-01-30 17	-2
2022-01-30 18	-2
2022-01-30 19	-1
2022-01-30 20	-2
2022-01-30 21	-2
2022-01-30 22	-2
2022-01-30 23	-2
2022-01-31 0	-2
2022-01-31 1	-2
2022-01-31 2	-3
2022-01-31 3	-4
2022-01-31 4	-4
2022-01-31 5	-4.1
2022-01-31 6	-3
2022-01-31 7	-3
2022-01-31 8	-2
2022-01-31 9	-2
2022-01-31 10	-1
2022-01-31 11	-1
2022-01-31 12	-1
2022-01-31 13	1
2022-01-31 14	1
2022-01-31 15	1
2022-01-31 16	1
2022-01-31 17	0
2022-01-31 18	0
2022-01-31 19	-1
2022-01-31 20	-2
2022-01-31 21	-1
2022-01-31 22	-1
2022-01-31 23	-2
